Train Loss,Valid Loss,Train MAE,Valid MAE
0.028024722659191884,0.018263202994228244,0.1840836420342639,0.15134162294281112
0.015996234032318934,0.013869939814810153,0.14229921303637377,0.13191545686938547
0.012631306610350217,0.011293284451732269,0.12625840439142047,0.1188973015421754
0.010587567217661055,0.009669220583005384,0.11584071531058192,0.11001387191610737
0.009188005720245671,0.008717926368898862,0.10744644263824382,0.10429327783884702
0.008088776138383191,0.007480047333829261,0.10057745871322972,0.0964860569138627
0.007248140918742214,0.006864936214747963,0.09509223285359103,0.09225800190563802
0.006672581928046224,0.006375435697422786,0.09131076004538503,0.08892824136085443
0.006151601649377938,0.005903545275356595,0.08745977673288825,0.08537716335141575
0.0057701772905990375,0.0055205842994570315,0.08444399931109868,0.08236602162356144
0.0053633023370904,0.005187089978293939,0.08121142070089186,0.07962692112147392
0.005137793784895977,0.004984113293328694,0.07943058110304646,0.0778553478055067
0.004859026116025927,0.00476073754716899,0.0771646079170954,0.07595931514576598
0.004661051459590924,0.0045939929249299155,0.07541751457782059,0.07439204680544513
0.004459732989585223,0.004496956888872843,0.07365783978696469,0.07338770697792094
0.004318762824616649,0.004308678099064977,0.07231478512912363,0.07173661887645721
0.004166634937331497,0.004192994718628747,0.07097382935975398,0.07059904344223596
0.0040440388631166795,0.004083966209481542,0.06980729336244659,0.0696132661891984
0.003919643442752165,0.00398189838897515,0.06865334898962841,0.06859124352881958
0.0038271304154833714,0.003941596586621933,0.0677351895068492,0.06811650764275264
0.0037282429191029883,0.0037512704013631893,0.06682704785070219,0.06637092372337422
0.0036524701961218476,0.003797027314980547,0.06593024144535298,0.06649787367119656
0.0035730151132309248,0.003641398551945503,0.06514186491551516,0.0652065382345573
0.0035063806364403947,0.0035549133879269335,0.06468844753722627,0.06439828380317121
0.003451795400270111,0.0035723753459100333,0.06397118907864693,0.06435607311192092
0.00339764146577124,0.0034504309215198656,0.0632946889951721,0.0631348126522311
0.003336294804100546,0.003419859256673526,0.06275225232739548,0.06314302827199023
0.00327526766178361,0.0033277244880222357,0.06212593299838213,0.06209804372979211
0.0032164172523401,0.003335138786115221,0.06141581848732658,0.062218298653622606
0.00320634156200136,0.0033010025362165034,0.061219533488571225,0.06160422135795747
0.0031490749321304834,0.0034021453319729627,0.060723918496624577,0.06197414906708511
0.0031096724340679135,0.003152867814955803,0.06002760122341293,0.06011056629094211
0.003062405471260158,0.0031938958926113334,0.05967390855083932,0.060253297323947186
0.0030301147184523566,0.0033023310890356143,0.059337444981182375,0.061064994548792606
0.003018797975655489,0.003130250603898422,0.0591768256251837,0.059618647464297035
0.002950302004843455,0.0031753492922606793,0.058377817755083106,0.05975167752875315
